陕西电信-组播1,#genre#
山西卫视-标清,http://1.85.225.43:8686/rtp/239.112.205.46:5140
陕西卫视,http://ipip/udp/239.109.205.66:8464
陕西卫视,http://1.85.225.43:8686/rtp/239.111.205.35:5140
四川卫视,http://ipip/udp/239.110.205.18:9818
四川卫视,http://1.85.225.43:8686/rtp/239.112.205.184:5140
新疆卫视-标清,http://ipip/udp/239.110.205.13:9798
新疆卫视-标清,http://1.85.225.43:8686/rtp/239.112.205.56:5140
云南卫视-标清,http://ipip/udp/239.110.205.15:9806
青海卫视-标清,http://ipip/udp/239.109.205.44:8288
兵团卫视-标清,http://ipip/udp/239.109.205.86:8624
兵团卫视-标清,http://1.85.225.43:8686/rtp/239.112.205.198:5140
厦门卫视-标清,http://ipip/udp/239.110.205.21:9830
厦门卫视-标清,http://1.85.225.43:8686/rtp/239.112.205.60:5140
西藏卫视-标清,http://ipip/udp/239.109.205.45:8296
西藏卫视-标清,http://1.85.225.43:8686/rtp/239.112.205.54:5140
三沙卫视-标清,http://ipip/udp/239.110.205.100:7876
凤凰卫视-中文台,http://ipip/udp/239.110.205.103:7864
凤凰卫视-资讯台,http://ipip/udp/239.110.205.114:7820
陕西1套-新闻资讯,http://ipip/udp/239.111.205.28:5140
陕西2套-体育休闲,http://ipip/udp/239.111.205.36:5140
陕西3套-生活,http://ipip/udp/239.111.205.98:5140
陕西3套-生活,http://1.85.225.43:8686/rtp/239.112.205.20:5140
陕西4套-影视,http://ipip/udp/239.111.205.99:5140
陕西4套-影视,http://1.85.225.43:8686/rtp/239.112.205.21:5140
陕西5套-公共,http://ipip/udp/239.111.205.100:5140
陕西5套-公共,http://1.85.225.43:8686/rtp/239.112.205.22:5140
陕西6套-乐家购物,http://ipip/udp/239.111.205.101:5140
陕西7套-都市青春,http://ipip/udp/239.111.205.42:5140
陕西7套-都市青春,http://1.85.225.43:8686/rtp/239.111.205.42:5140
陕西8套-西部电影,http://ipip/udp/239.111.205.102:5140
陕西8套-西部电影,http://1.85.225.43:8686/rtp/239.111.205.41:5140
西安1套-新闻综合,http://ipip/udp/239.109.205.130:8976
西安1套-新闻综合,http://1.85.225.43:8686/rtp/239.111.205.242:5140
西安2套-都市频道,http://ipip/udp/239.109.205.131:8984
西安2套-都市频道,http://1.85.225.43:8686/rtp/239.111.205.243:5140
西安3套-商务资讯,http://ipip/udp/239.110.205.38:9858
西安3套-商务资讯,http://1.85.225.43:8686/rtp/239.112.205.174:5140
西安4套-戏剧影视,http://ipip/udp/239.110.205.39:9862
西安4套-戏剧影视,http://1.85.225.43:8686/rtp/239.112.205.175:5140
